Canciones,id_tracks,duracion_ms,popularidad,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,mode,time_signature,Canción,Artista/Banda,Producto,Categoría de Producto,Industria,Año
Walking On Sunshine,05wIrZSwuaVWhcv5FfqeH0,238733,78,119,597,0,166,678,-11,371,109,944,10,1,4.0,Walking On Sunshine,Katrina and the Waves,The Big Bang Theory,Series de televisión,Entretenimiento y Medios,2000
Walking On Sunshine,05wIrZSwuaVWhcv5FfqeH0,238733,78,119,597,0,166,678,-11,371,109,944,10,1,4.0,Walking On Sunshine,Katrina and the Waves,Glee,Series de televisión,Entretenimiento y Medios,2009
Walking On Sunshine,05wIrZSwuaVWhcv5FfqeH0,238733,78,119,597,0,166,678,-11,371,109,944,10,1,4.0,Walking On Sunshine,Katrina and the Waves,New Amsterdam,Series de televisión,Entretenimiento y Medios,2018
Walking On Sunshine,05wIrZSwuaVWhcv5FfqeH0,238733,78,119,597,0,166,678,-11,371,109,944,10,1,4.0,Walking On Sunshine,Katrina and the Waves,Good Boys,Series de televisión,Entretenimiento y Medios,2019
War,3yCRbRnRraIpWzWTOZDyX9,203373,0,485,598,816,0,225,-7,169,109,717,1,1,4.0,War,Edwin Starr,Rush Hour,Película,Entretenimiento y Medios,1998
Way down We Go,0y1QJc3SJVPKJ1OvFmFqe6,213706,84,579,489,505,333,104,-8,117,163,337,10,0,4.0,Way Down We Go,Kaleo,Collateral Beauty,Película,Entretenimiento y Medios,2016
Way down We Go,0y1QJc3SJVPKJ1OvFmFqe6,213706,84,579,489,505,333,104,-8,117,163,337,10,0,4.0,Way Down We Go,Kaleo,The F**k-It List,Película,Entretenimiento y Medios,2020
Way down We Go,0y1QJc3SJVPKJ1OvFmFqe6,213706,84,579,489,505,333,104,-8,117,163,337,10,0,4.0,Way Down We Go,Kaleo,NCIS,Series de televisión,Entretenimiento y Medios,2003
Way down We Go,0y1QJc3SJVPKJ1OvFmFqe6,213706,84,579,489,505,333,104,-8,117,163,337,10,0,4.0,Way Down We Go,Kaleo,Greys Anatomy,Series de televisión,Entretenimiento y Medios,2005
Way down We Go,0y1QJc3SJVPKJ1OvFmFqe6,213706,84,579,489,505,333,104,-8,117,163,337,10,0,4.0,Way Down We Go,Kaleo,The Vampire Diaries,Series de televisión,Entretenimiento y Medios,2009
Way down We Go,0y1QJc3SJVPKJ1OvFmFqe6,213706,84,579,489,505,333,104,-8,117,163,337,10,0,4.0,Way Down We Go,Kaleo,Teen Wolf,Series de televisión,Entretenimiento y Medios,2011
Way down We Go,0y1QJc3SJVPKJ1OvFmFqe6,213706,84,579,489,505,333,104,-8,117,163,337,10,0,4.0,Way Down We Go,Kaleo,Orange is the New Black,Series de televisión,Entretenimiento y Medios,2013
Way down We Go,0y1QJc3SJVPKJ1OvFmFqe6,213706,84,579,489,505,333,104,-8,117,163,337,10,0,4.0,Way Down We Go,Kaleo,The Blacklist,Series de televisión,Entretenimiento y Medios,2013
Way down We Go,0y1QJc3SJVPKJ1OvFmFqe6,213706,84,579,489,505,333,104,-8,117,163,337,10,0,4.0,Way Down We Go,Kaleo,Love Island,Series de televisión,Entretenimiento y Medios,2015
Way down We Go,0y1QJc3SJVPKJ1OvFmFqe6,213706,84,579,489,505,333,104,-8,117,163,337,10,0,4.0,Way Down We Go,Kaleo,Supergirl,Series de televisión,Entretenimiento y Medios,2015
Way down We Go,0y1QJc3SJVPKJ1OvFmFqe6,213706,84,579,489,505,333,104,-8,117,163,337,10,0,4.0,Way Down We Go,Kaleo,Lucifer,Series de televisión,Entretenimiento y Medios,2016
Way down We Go,0y1QJc3SJVPKJ1OvFmFqe6,213706,84,579,489,505,333,104,-8,117,163,337,10,0,4.0,Way Down We Go,Kaleo,Riverdale,Series de televisión,Entretenimiento y Medios,2017
We Are Blessed,4xK4dHZtGcdprnAJC5L9KN,281261,0,728,581,535,0,133,-7,387,120,381,2,1,4.0,We Are Blessed,Luciano Pavarotti,Barilla,Alimentos y bebidas,Consumo y Retail,1992
We Are Young (feat. Janelle Monáe),3ehrxAhYms24KLPG8FZe0W,250626,52,0,378,638,766,849,-5,75,184,735,10,1,4.0,We Are Young (feat. Janelle Monáe),Fun.,Glee: The Concert Movie,Película,Entretenimiento y Medios,2011
We Are Young (feat. Janelle Monáe),3ehrxAhYms24KLPG8FZe0W,250626,52,0,378,638,766,849,-5,75,184,735,10,1,4.0,We Are Young (feat. Janelle Monáe),Fun.,Chevrolet Sonic Advertisement,Vehículos y automóviles,Automotriz y Transporte,2012
We No Speak Americano - Original Mix,7GsIXDHgzTTYcxASbu873s,269800,0,311,866,693,299,969,-4,505,124,474,3,0,4.0,We No Speak Americano - Original Mix,Yolanda Be Cool & DCUP,Fiat 500,Vehículos y automóviles,Automotriz y Transporte,1995
We've Got The Whole World In Our Hands,2pS6zWWQCpO0IVEBIbzJh8,207800,0,994,473,727,0,817,-11,807,133,314,9,1,4.0,"Welcome Back (Theme from Welcome Back, Kotter)",John Sebastian,"Welcome Back, Kotter",Series de televisión,Entretenimiento y Medios,1975
Welcome Back (Welcome Back. Kotter),2sw8teIvVMRZKKYD5p795f,170893,42,412,745,373,888,158,-13,325,111,904,4,0,4.0,Westworld,Ramin Djawadi,Westworld,Series de televisión,Entretenimiento y Medios,2016
What The World Needs Now Is Love - Remastered,5td7WsBur5opModo1lB1X3,187200,38,861,444,389,0,113,-9,291,105,427,1,1,4.0,What The World Needs Now Is Love - Remastered,Jackie DeShannon,Forrest Gump,Película,Entretenimiento y Medios,1994
"What Was I Made For? [From The Motion Picture ""Barbie""]",6wf7Yu7cxBSPrRlWeSeK0Q,222369,87,953,391,84,0,983,-17,317,79,111,0,1,4.0,What Was I Made For?,Billie Eilish,Barbie,Película,Entretenimiento y Medios,2023
Whatever,395QkUxlE6IAmmbLtmeyci,380186,0,146,288,891,518,598,-2,338,93,313,7,1,4.0,Whatever (Remastered),Oasis,Coca-Cola,Alimentos y bebidas,Consumo y Retail,2008
Whatever,395QkUxlE6IAmmbLtmeyci,380186,0,146,288,891,518,598,-2,338,93,313,7,1,4.0,Whatever,Oasis,The Parent Trap,Película,Entretenimiento y Medios,1998
Whatever,395QkUxlE6IAmmbLtmeyci,380186,0,146,288,891,518,598,-2,338,93,313,7,1,4.0,Whatever (Remastered),Oasis,BT Group,Servicios de comunicaciones,Tecnología y Comunicaciones,1994
Whatever You Want,2kUzt5LsTUR0ggquP7O3eN,243546,61,772,0,705,259,264,-6,498,122,501,2,1,4.0,Whatever You Want,Status Quo,Coca-Cola,Alimentos y bebidas,Consumo y Retail,2001
Whatever You Want,2kUzt5LsTUR0ggquP7O3eN,243546,61,772,0,705,259,264,-6,498,122,501,2,1,4.0,Whatever You Want,Status Quo,Argos,Tiendas físicas y minoristas,Consumo y Retail,2013
Whatever You Want,2kUzt5LsTUR0ggquP7O3eN,243546,61,772,0,705,259,264,-6,498,122,501,2,1,4.0,Whatever You Want,Status Quo,Ford,Vehículos y automóviles,Automotriz y Transporte,1997
when the party's over,43zdsphuZLzwA9k4DJhU0I,196077,83,978,367,111,397,897,-14,972,82,198,4,1,4.0,when the party's over,Billie Eilish,Billie Eilish: The World’s a Little Blurry,Película,Entretenimiento y Medios,2021
when the party's over,43zdsphuZLzwA9k4DJhU0I,196077,83,978,367,111,397,897,-14,972,82,198,4,1,4.0,when the party's over,Billie Eilish,The Fallout,Película,Entretenimiento y Medios,2022
when the party's over,43zdsphuZLzwA9k4DJhU0I,196077,83,978,367,111,397,897,-14,972,82,198,4,1,4.0,when the party's over,Billie Eilish,Scream VI,Película,Entretenimiento y Medios,2023
when the party's over,43zdsphuZLzwA9k4DJhU0I,196077,83,978,367,111,397,897,-14,972,82,198,4,1,4.0,when the party's over,Billie Eilish,Baby,Series de televisión,Entretenimiento y Medios,2019
when the party's over,43zdsphuZLzwA9k4DJhU0I,196077,83,978,367,111,397,897,-14,972,82,198,4,1,4.0,when the party's over,Billie Eilish,Batwoman,Series de televisión,Entretenimiento y Medios,2019
when the party's over,43zdsphuZLzwA9k4DJhU0I,196077,83,978,367,111,397,897,-14,972,82,198,4,1,4.0,when the party's over,Billie Eilish,On My Block,Series de televisión,Entretenimiento y Medios,2019
when the party's over,43zdsphuZLzwA9k4DJhU0I,196077,83,978,367,111,397,897,-14,972,82,198,4,1,4.0,when the party's over,Billie Eilish,Riverdale,Series de televisión,Entretenimiento y Medios,2019
when the party's over,43zdsphuZLzwA9k4DJhU0I,196077,83,978,367,111,397,897,-14,972,82,198,4,1,4.0,when the party's over,Billie Eilish,The Hills: New Beginnings,Series de televisión,Entretenimiento y Medios,2019
when the party's over,43zdsphuZLzwA9k4DJhU0I,196077,83,978,367,111,397,897,-14,972,82,198,4,1,4.0,when the party's over,Billie Eilish,The Resident,Series de televisión,Entretenimiento y Medios,2019
when the party's over,43zdsphuZLzwA9k4DJhU0I,196077,83,978,367,111,397,897,-14,972,82,198,4,1,4.0,when the party's over,Billie Eilish,Love Island,Series de televisión,Entretenimiento y Medios,2021
when the party's over,43zdsphuZLzwA9k4DJhU0I,196077,83,978,367,111,397,897,-14,972,82,198,4,1,4.0,when the party's over,Billie Eilish,Wentworth,Series de televisión,Entretenimiento y Medios,2021
when the party's over,43zdsphuZLzwA9k4DJhU0I,196077,83,978,367,111,397,897,-14,972,82,198,4,1,4.0,when the party's over,Billie Eilish,Surviving Summer,Series de televisión,Entretenimiento y Medios,2022
when the party's over,43zdsphuZLzwA9k4DJhU0I,196077,83,978,367,111,397,897,-14,972,82,198,4,1,4.0,when the party's over,Billie Eilish,The Summer I Turned Pretty,Series de televisión,Entretenimiento y Medios,2022
When You're Smiling (Bonus Track),0NdyJaHANZf5x0BONp3Bij,130153,27,464,479,0,852,203,-8,745,199,0,0,1,4.0,When You're Smiling (Bonus Track),Louis Armstrong,Fiat,Vehículos y automóviles,Automotriz y Transporte,2012
Where Do We Go,2Bfy9lip6p2i6VYO1VgjWc,168600,0,699,754,406,5,979,-7,406,126,756,4,0,4.0,Where Do We Go,Solange,Creed,Película,Entretenimiento y Medios,2015
Where Is My Mind?,5BP0oaQ1VhuaznT77CBXQp,231666,0,177,508,597,856,91,-8,396,81,185,4,1,4.0,Where Is My Mind?,Pixies,Fight Club,Película,Entretenimiento y Medios,1999
Who Can It Be Now?,5cOM0fTHceCkJVwuyHdMnk,200493,49,353,816,791,345,0,-4,372,128,963,4,1,4.0,Who Can It Be Now?,Men at Work,AT&T,Servicios de comunicaciones,Tecnología y Comunicaciones,2013
Who Let The Dogs Out,1H5tvpoApNDxvxDexoaAUo,198400,66,605,869,887,0,148,-4,992,129,784,0,1,4.0,Who Let The Dogs Out,Baha Men,Rugrats in Paris: The Movie,Película,Entretenimiento y Medios,2000
Who's the Boss,6sdDwGslFYqWVtQ2vRrTDg,62960,18,429,584,438,0,223,-8,297,160,791,2,1,4.0,Who's the Boss (Brand New Life),"Larry Carlton, Robert Craft",Whos the Boss?,Series de televisión,Entretenimiento y Medios,1984
Why Can't We Be Friends,6PVJFuMAKIL1fnvW9iTCg9,286240,0,154,475,871,0,306,-7,599,101,722,8,1,4.0,Why Can't We Be Friends,War,Baseketball,Película,Entretenimiento y Medios,1998
Why Can't We Be Friends,6PVJFuMAKIL1fnvW9iTCg9,286240,0,154,475,871,0,306,-7,599,101,722,8,1,4.0,Why Can't We Be Friends,War,Lethal Weapon 4,Película,Entretenimiento y Medios,1998
Wicked Game,390AWnOn2rfe9FzQjYmxIH,286880,1,744,667,548,122,946,-7,262,112,0,9,1,4.0,Wicked Game,Chris Isaak,Nespresso,Alimentos y bebidas,Consumo y Retail,2010
With A Little Help From My Friends,0YZ3J8xzGwLOg4yEgST1YK,312173,63,288,307,0,994,988,-11,629,145,305,2,1,3.0,With A Little Help From My Friends,Joe Cocker,The Wonder Years,Series de televisión,Entretenimiento y Medios,1988
Without You,7vqubB6rY1NpGVGpHYobbQ,202026,0,556,441,212,552,578,-13,287,65,124,4,1,4.0,Without You,Harry Nilsson,P.S. I Love You,Película,Entretenimiento y Medios,2007
Wkrp in Cincinnati Tv Theme,4Of2wxeQzR2u6JhYwyMZ4V,48146,14,196,387,0,0,165,-4,711,111,535,4,1,4.0,Wkrp in Cincinnati Tv Theme,Steve Carlisle,WKRP in Cincinnati,Series de televisión,Entretenimiento y Medios,1978
Woke Up This Morning (The Sopranos Theme),1hI6YOpNKjWcju3DgHPWoL,233743,17,145,662,0,899,0,-13,427,88,756,5,0,4.0,Woke Up This Morning (The Sopranos Theme),Alabama 3,The Sopranos,Series de televisión,Entretenimiento y Medios,1999
Won't Get Fooled Again - Original Album Version,3S9PcjheJ0JZHawN261M0p,515000,0,128,684,815,383,746,-10,0,134,285,2,1,4.0,Won't Get Fooled Again - Original Album Version,The Who,Samsung Galaxy S2,Dispositivos electrónicos,Tecnología y Comunicaciones,2011
Won't Get Fooled Again - Original Album Version,3S9PcjheJ0JZHawN261M0p,515000,0,128,684,815,383,746,-10,0,134,285,2,1,4.0,Won't Get Fooled Again - Original Album Version,The Who,Nissan,Vehículos y automóviles,Automotriz y Transporte,2007
Wonderful World,5RQJusMAPwQkD4b6NiJk2U,127186,0,557,588,561,0,285,-10,405,128,943,11,1,4.0,Wonderful World,Sam Cooke,Witness,Película,Entretenimiento y Medios,1985
