Canciones,id_tracks,duracion_ms,popularidad,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,mode,time_signature,Canción,Artista/Banda,Producto,Categoría de Producto,Industria,Año
(Sittin' On) the Dock of the Bay,3zBhihYUHBmGd2bcQIobrF,163755,82,683,768,367,179,81,-11,315,103,532,2,1,4.0,(Sittin' On) the Dock of the Bay,Otis Redding,Top Gun,Película,Entretenimiento y Medios,1986
(Sittin' On) the Dock of the Bay,3zBhihYUHBmGd2bcQIobrF,163755,82,683,768,367,179,81,-11,315,103,532,2,1,4.0,(Sittin' On) the Dock of the Bay,Otis Redding,Jarhead,Película,Entretenimiento y Medios,2005
(Sittin' On) the Dock of the Bay,3zBhihYUHBmGd2bcQIobrF,163755,82,683,768,367,179,81,-11,315,103,532,2,1,4.0,(Sittin' On) the Dock of the Bay,Otis Redding,Soul Men,Película,Entretenimiento y Medios,2008
(Sittin' On) the Dock of the Bay,3zBhihYUHBmGd2bcQIobrF,163755,82,683,768,367,179,81,-11,315,103,532,2,1,4.0,(Sittin' On) the Dock of the Bay,Otis Redding,The Simpsons,Series de televisión,Entretenimiento y Medios,1989
(Sittin' On) the Dock of the Bay,3zBhihYUHBmGd2bcQIobrF,163755,82,683,768,367,179,81,-11,315,103,532,2,1,4.0,(Sittin' On) the Dock of the Bay,Otis Redding,Sons of Anarchy,Series de televisión,Entretenimiento y Medios,2008
2 Hearts,1OODa4x3P0DarexE3Uc2a8,173546,11,861,0,583,681,49,-6,35,112,491,9,0,4.0,2 Hearts,Kylie Minogue,M&S,Moda y belleza,Consumo y Retail,2007
2 Hearts,1OODa4x3P0DarexE3Uc2a8,173546,11,861,0,583,681,49,-6,35,112,491,9,0,4.0,2 Hearts,Kylie Minogue,Greys Anatomy,Series de televisión,Entretenimiento y Medios,2008
5 Years Time,1Wl8eGdNRODM6p8LYP2ACB,215013,0,416,803,0,0,85,-7,105,121,763,0,1,4.0,5 Years Time,Noah and the Whale,SunChips,Película,Entretenimiento y Medios,2008
A 1000 por Hora (En Vivo),2h8gxXvnC6MAvLnNUnNzgl,201422,39,673,513,897,0,986,-6,659,92,732,0,1,4.0,A 1000 por Hora (En Vivo),OV7,DKDA: Sueños de juventud,Series de televisión,Entretenimiento y Medios,1999
A Little Less Conversation - JXL Radio Edit Remix,28ASL502mpsN4rqS2NmrS3,211506,0,385,597,0,205,133,-5,502,115,717,4,0,4.0,A Little Less Conversation - JXL Radio Edit Remix,Elvis Presley,Oceans Twelve,Película,Entretenimiento y Medios,2004
A Little Less Conversation - JXL Radio Edit Remix,28ASL502mpsN4rqS2NmrS3,211506,0,385,597,0,205,133,-5,502,115,717,4,0,4.0,A Little Less Conversation - JXL Radio Edit Remix,Elvis Presley,Nike,Recreación y productos deportivos,"Salud, Bienestar y Deportes",2002
A Little Less Conversation - JXL Radio Edit Remix,28ASL502mpsN4rqS2NmrS3,211506,0,385,597,0,205,133,-5,502,115,717,4,0,4.0,A Little Less Conversation - JXL Radio Edit Remix,Elvis Presley,Nike,Recreación y productos deportivos,"Salud, Bienestar y Deportes",2002
A Man Is In Love - 2008 Remastered Version,4CkFScaux1fMVXqtenhP6v,198373,0,841,418,513,333,546,-7,33,126,413,5,1,4.0,A Man Is In Love - 2008 Remastered Version,Steve Miller Band,Chanel,Moda y belleza,Consumo y Retail,2008
A Man Is In Love - 2008 Remastered Version,4CkFScaux1fMVXqtenhP6v,198373,0,841,418,513,333,546,-7,33,126,413,5,1,4.0,A Man Is In Love - 2008 Remastered Version,Steve Miller Band,The Royal Tenenbaums,Película,Entretenimiento y Medios,2001
A Message to You Rudy - 2002 Remastered Version,2EwEtZrsBpjLmwhe7GCGhs,172600,0,149,906,0,232,168,-8,627,103,969,0,1,4.0,A Message to You Rudy - 2002 Remastered Version,The Specials,This Is England,Película,Entretenimiento y Medios,2006
A Minha Menina,0lGEWOZvMexZFXckBJxlVO,284986,47,555,463,926,0,478,-3,122,91,437,7,1,4.0,A Minha Menina,Os Mutantes,McDonalds,Alimentos y bebidas,Consumo y Retail,2013
A Thousand Years,07uZmxnxzr0t6Csga6uQtw,285120,0,312,423,407,961,0,-7,267,139,161,10,1,3.0,A Thousand Years,Christina Perri,The Twilight Saga: Breaking Dawn - Part 1,Película,Entretenimiento y Medios,2011
A Whiter Shade of Pale - Original Single Version,7DsQgIwg23u9gooCxkRTu3,248946,58,514,249,0,271,891,-6,343,149,427,0,1,4.0,A Whiter Shade of Pale - Original Single Version,Procol Harum,The Big Chill,Película,Entretenimiento y Medios,1983
A Whiter Shade of Pale - Original Single Version,7DsQgIwg23u9gooCxkRTu3,248946,58,514,249,0,271,891,-6,343,149,427,0,1,4.0,A Whiter Shade of Pale - Original Single Version,Procol Harum,The Boat That Rocked,Película,Entretenimiento y Medios,2009
A Whiter Shade of Pale - Original Single Version,7DsQgIwg23u9gooCxkRTu3,248946,58,514,249,0,271,891,-6,343,149,427,0,1,4.0,A Whiter Shade of Pale - Original Single Version,Procol Harum,Oblivion,Película,Entretenimiento y Medios,2013
A Whiter Shade of Pale - Original Single Version,7DsQgIwg23u9gooCxkRTu3,248946,58,514,249,0,271,891,-6,343,149,427,0,1,4.0,A Whiter Shade of Pale - Original Single Version,Procol Harum,The Sopranos,Series de televisión,Entretenimiento y Medios,1999
A Whiter Shade of Pale - Original Single Version,7DsQgIwg23u9gooCxkRTu3,248946,58,514,249,0,271,891,-6,343,149,427,0,1,4.0,A Whiter Shade of Pale - Original Single Version,Procol Harum,American Horror Stories,Series de televisión,Entretenimiento y Medios,2021
A Wink and a Smile,6Ie0gZmHfxHSQJomLbSUej,166760,0,878,731,205,921,907,-13,457,112,0,7,1,4.0,A Wink and a Smile,Harry Connick Jr.,Sleepless in Seattle,Película,Entretenimiento y Medios,1993
Abrázame Muy Fuerte,2nejvFyJeTDtMRP2nUMt0J,239426,72,689,515,387,0,126,-7,567,135,312,4,0,4.0,Abrázame Muy Fuerte,Juan Gabriel,Abrázame Muy Fuerte,Series de televisión,Entretenimiento y Medios,2000
"Ain't Got No - I Got Life (From ""Hair"") - Single Version",2VQeMxwb6GPWx6vhJcpdpZ,134333,0,566,573,656,0,0,-5,294,113,706,7,1,4.0,Ain't Got No - I Got Life (From 'Hair') - Single Version,Nina Simone,Yves Saint Laurent,Moda y belleza,Consumo y Retail,2015
Ain't No Mountain High Enough,1KbuhBnzMHp4eq1q6flhWd,151666,83,0,663,0,0,184,-10,32,129,797,7,1,4.0,Ain't No Mountain High Enough,Diana Ross,Bridget Joness Diary,Película,Entretenimiento y Medios,2001
Ain't No Mountain High Enough,1KbuhBnzMHp4eq1q6flhWd,151666,83,0,663,0,0,184,-10,32,129,797,7,1,4.0,Ain't No Mountain High Enough,Diana Ross,Chicken Little,Película,Entretenimiento y Medios,2005
Ain't No Mountain High Enough,1KbuhBnzMHp4eq1q6flhWd,151666,83,0,663,0,0,184,-10,32,129,797,7,1,4.0,Ain't No Mountain High Enough,Diana Ross,Greys Anatomy,Series de televisión,Entretenimiento y Medios,2005
Ain't That A Kick In The Head - 1997 - Remastered,7coH7f2P7SiLxmo95b5QHX,144693,0,616,659,345,0,299,-7,555,132,725,6,0,4.0,Ain't That A Kick In The Head - 1997 - Remastered,Dean Martin,Oceans Eleven,Película,Entretenimiento y Medios,2001
Ain't That A Kick In The Head - 1997 - Remastered,7coH7f2P7SiLxmo95b5QHX,144693,0,616,659,345,0,299,-7,555,132,725,6,0,4.0,Ain't That A Kick In The Head - 1997 - Remastered,Dean Martin,Nike,Recreación y productos deportivos,"Salud, Bienestar y Deportes",2012
Ain't Too Proud To Beg,4oX9JH8cUlToGpzuk3JYKe,151493,0,565,744,579,0,531,-11,439,121,929,5,1,4.0,Ain't Too Proud To Beg,The Temptations,The Big Chill,Película,Entretenimiento y Medios,1983
Al Diablo Con Los Guapos aka No Me Supiste Querer,4bxUPG9Z6km505nHcfCdT4,219453,37,209,662,723,0,148,-3,503,136,612,0,1,4.0,Al Diablo Con Los Guapos aka No Me Supiste Querer,Grupo Limite,Al Diablo con los Guapos,Series de televisión,Entretenimiento y Medios,2018
Alegrijes y rebujos,2U0eZH4CmdPMcfUPqsMqae,163626,41,581,825,849,315,44,-6,813,90,749,11,0,4.0,Alegrijes y rebujos,Various Artists,Alegrijes y rebujos,Series de televisión,Entretenimiento y Medios,2003
Alf,71bFaPDpqFok2qewrHklPR,101360,10,0,628,621,432,565,-7,273,108,796,2,1,4.0,Alf,Alf Clausen,ALF,Series de televisión,Entretenimiento y Medios,1986
All for Love,4lsEHglVsLzILTDQ3CNESV,281200,65,125,0,0,0,994,-11,293,74,135,2,1,4.0,All for Love,"Bryan Adams, Rod Stewart, Sting",The Three Musketeers,Película,Entretenimiento y Medios,1993
All My Life,6tsojOQ5wHaIjKqIryLZK6,263440,72,218,577,604,579,477,-5,495,167,637,5,1,4.0,All My Life,K-Ci & JoJo,Save the Last Dance,Película,Entretenimiento y Medios,2001
All Right Now,3D4JVvFVs7LaKvzMFzdqwF,254466,0,273,677,786,0,713,-6,537,120,809,2,1,4.0,All Right Now,Free,Pepsi,Alimentos y bebidas,Consumo y Retail,1995
All Right Now,3D4JVvFVs7LaKvzMFzdqwF,254466,0,273,677,786,0,713,-6,537,120,809,2,1,4.0,All Right Now,Free,Ford Focus,Vehículos y automóviles,Automotriz y Transporte,2008
All Star,3cfOd4CMv2snFaKAnMdnvK,200373,80,394,731,867,0,861,-5,32,104,776,11,1,4.0,All Star,Smash Mouth,Shrek,Película,Entretenimiento y Medios,1999
All Star,3cfOd4CMv2snFaKAnMdnvK,200373,80,394,731,867,0,861,-5,32,104,776,11,1,4.0,All Star,Smash Mouth,Mystery Men,Película,Entretenimiento y Medios,2002
All These Things That I've Done,5vollujufHY0jMZxx77VWr,301866,72,245,539,702,237,117,-7,436,118,206,6,1,4.0,All These Things That I've Done,The Killers,Southland Tales,Película,Entretenimiento y Medios,2006
All These Things That I've Done,5vollujufHY0jMZxx77VWr,301866,72,245,539,702,237,117,-7,436,118,206,6,1,4.0,All These Things That I've Done,The Killers,One Tree Hill,Series de televisión,Entretenimiento y Medios,2006
All You Need Is Love - Remastered 2009,68BTFws92cRztMS1oQ7Ewj,230386,64,349,399,481,317,155,-7,296,103,652,7,1,4.0,All You Need Is Love - Remastered 2009,The Beatles,Luvs Diapers,Moda y belleza,Consumo y Retail,2014
Alma,2GRUPzggKkd1rRnganG4G9,231600,33,731,682,814,15,109,-6,315,95,635,2,1,4.0,Alma,La 5ª Estación,Alma de Hierro,Series de televisión,Entretenimiento y Medios,2008
Alone Again (Naturally),0JCfVb2qlq79Q479BUb0jK,230680,57,951,608,208,0,131,-11,316,70,239,5,1,4.0,Alone Again (Naturally),Gilbert O'Sullivan,Stuart Little 2,Película,Entretenimiento y Medios,2002
Alright,5xC8uOesnn0udeXAYlAnoY,180880,6,479,467,958,199,299,-4,775,145,701,4,0,4.0,Alright,Supergrass,Vodafone,Compañía telefonía,Tecnología y Comunicaciones,2006
Alright,5xC8uOesnn0udeXAYlAnoY,180880,6,479,467,958,199,299,-4,775,145,701,4,0,4.0,Alright,Supergrass,Clueless,Película,Entretenimiento y Medios,1995
Alright,5xC8uOesnn0udeXAYlAnoY,180880,6,479,467,958,199,299,-4,775,145,701,4,0,4.0,Alright,Supergrass,Astro Boy,Película,Entretenimiento y Medios,2009
Alright,5xC8uOesnn0udeXAYlAnoY,180880,6,479,467,958,199,299,-4,775,145,701,4,0,4.0,Alright,Supergrass,The Men Who Stare At Goats,Película,Entretenimiento y Medios,2009
Alright,5xC8uOesnn0udeXAYlAnoY,180880,6,479,467,958,199,299,-4,775,145,701,4,0,4.0,Alright,Supergrass,The Pirates! In an Adventure with Scientists!,Película,Entretenimiento y Medios,2012
Alright,5xC8uOesnn0udeXAYlAnoY,180880,6,479,467,958,199,299,-4,775,145,701,4,0,4.0,Alright,Supergrass,The Beanie Bubble,Película,Entretenimiento y Medios,2023
Alright,5xC8uOesnn0udeXAYlAnoY,180880,6,479,467,958,199,299,-4,775,145,701,4,0,4.0,Alright,Supergrass,Frequency,Series de televisión,Entretenimiento y Medios,2016
Alright,5xC8uOesnn0udeXAYlAnoY,180880,6,479,467,958,199,299,-4,775,145,701,4,0,4.0,Alright,Supergrass,Derry Girls,Series de televisión,Entretenimiento y Medios,2018
Alright,5xC8uOesnn0udeXAYlAnoY,180880,6,479,467,958,199,299,-4,775,145,701,4,0,4.0,Alright,Supergrass,For All Mankind,Series de televisión,Entretenimiento y Medios,2019
Alright,5xC8uOesnn0udeXAYlAnoY,180880,6,479,467,958,199,299,-4,775,145,701,4,0,4.0,Alright,Supergrass,"Roswell, New Mexico",Series de televisión,Entretenimiento y Medios,2019
Alright,5xC8uOesnn0udeXAYlAnoY,180880,6,479,467,958,199,299,-4,775,145,701,4,0,4.0,Alright,Supergrass,Ted Lasso,Series de televisión,Entretenimiento y Medios,2020
Alright,5xC8uOesnn0udeXAYlAnoY,180880,6,479,467,958,199,299,-4,775,145,701,4,0,4.0,Alright,Supergrass,Family Switch,Series de televisión,Entretenimiento y Medios,2023
Alright,5xC8uOesnn0udeXAYlAnoY,180880,6,479,467,958,199,299,-4,775,145,701,4,0,4.0,Alright,Supergrass,The Beanie Bubble,Series de televisión,Entretenimiento y Medios,2023
Alright,5xC8uOesnn0udeXAYlAnoY,180880,6,479,467,958,199,299,-4,775,145,701,4,0,4.0,Alright,Supergrass,The Flash,Series de televisión,Entretenimiento y Medios,2023
Always On My Mind,1B5Tp2Ml9nLlmTSJx8xVfI,218440,69,746,358,387,121,119,-14,324,181,495,7,1,4.0,Always On My Mind,Willie Nelson,Zombieland,Película,Entretenimiento y Medios,2009
Always Remember Us This Way,2rbDhOo9Fh61Bbu23T2qCk,210200,82,299,549,502,0,764,-5,405,129,291,0,1,4.0,Always Remember Us This Way,Lady Gaga,A Star Is Born,Película,Entretenimiento y Medios,2018
Always the Sun,22AsWPqIDpmnqqJy1uFXCI,183653,8,872,777,397,338,101,-6,475,145,673,9,1,4.0,Always the Sun,The Stranglers,H&M,Moda y belleza,Consumo y Retail,2013
Amarte Es Mi Pecado,1bvXuTmZ0PG6wNgjRy0RBV,255346,36,567,494,519,0,128,-5,287,142,287,11,1,4.0,Amarte Es Mi Pecado,Mariana Seoane,Amarte Es Mi Pecado,Series de televisión,Entretenimiento y Medios,2004
Amigas Y Rivales,2fGB20EaLJNuHzY6yPe8sI,249586,37,243,566,996,358,131,-4,402,136,938,9,0,4.0,Amigas Y Rivales,Laura Flores,Amigas y Rivales,Series de televisión,Entretenimiento y Medios,2001
Amigos por Siempre,5xSljhyINjp7c3g0Qi20NS,194080,34,32,762,961,129,948,-3,344,108,903,7,1,4.0,Amigos por Siempre,Belinda y Martín Ricca,Amigos por Siempre,Series de televisión,Entretenimiento y Medios,2000
Amor (Amor. amor. amor),1k4GYtmW7edpJ9uhQmzO66,222293,59,445,616,773,425,537,-5,254,147,717,7,1,4.0,"Amor (Amor, amor, amor)",Luis Miguel,Frida,Película,Entretenimiento y Medios,2002
Amor Real,3TTGJWEf6djut1oziq9h02,245000,40,801,735,419,0,0,-10,386,111,272,10,1,4.0,Amor Real,Sin Bandera,Amor Real,Película,Entretenimiento y Medios,2003
Amor Sin Maquillaje,3G5eRBL7FEeQjU1pjJ29J2,229493,38,756,523,393,108,128,-7,529,176,394,7,0,4.0,Amor Sin Maquillaje,Kika Edgar,Amor Sin Maquillaje,Series de televisión,Entretenimiento y Medios,2007
Andy Griffith Show: the Andy Griffith Show,3xbutCDbBLIGJSVYeX9jWE,75775,0,283,806,0,806,741,-13,841,180,627,1,0,4.0,Andy Griffith Show Theme (The Fishin' Hole),Earle Hagen,The Andy Griffith Show,Series de televisión,Entretenimiento y Medios,1960
Another Brick In The Wall. Pt. 2 - 2011 Remastered Version,7rPzEczIS574IgPaiPieS3,228586,70,704,693,353,113,503,-17,414,104,0,0,1,4.0,"Another Brick In The Wall, Pt. 2 - 2011 Remastered Version",Pink Floyd,Nike,Recreación y productos deportivos,"Salud, Bienestar y Deportes",2014
Antes De Que Te Vayas,0lp71hJNUvE9MC0Rwf9pPh,253506,48,359,613,0,215,152,-5,229,97,699,9,1,4.0,Antes De Que Te Vayas,Marco Antonio Solís,El Alma Herida,Series de televisión,Entretenimiento y Medios,2003
Apocalypse,0yc6Gst2xkRu0eMLeRMGCX,290616,87,205,369,468,566,109,-9,273,94,0,5,1,4.0,Apocalypse,Cigarettes After Sex,Hearts Beat Loud,Película,Entretenimiento y Medios,2018
Apocalypse,0yc6Gst2xkRu0eMLeRMGCX,290616,87,205,369,468,566,109,-9,273,94,0,5,1,4.0,Apocalypse,Cigarettes After Sex,Zoe,Película,Entretenimiento y Medios,2018
Apocalypse,0yc6Gst2xkRu0eMLeRMGCX,290616,87,205,369,468,566,109,-9,273,94,0,5,1,4.0,Apocalypse,Cigarettes After Sex,The Goldfinch,Película,Entretenimiento y Medios,2019
Apocalypse,0yc6Gst2xkRu0eMLeRMGCX,290616,87,205,369,468,566,109,-9,273,94,0,5,1,4.0,Apocalypse,Cigarettes After Sex,Suits,Series de televisión,Entretenimiento y Medios,2011
Apocalypse,0yc6Gst2xkRu0eMLeRMGCX,290616,87,205,369,468,566,109,-9,273,94,0,5,1,4.0,Apocalypse,Cigarettes After Sex,The 100,Series de televisión,Entretenimiento y Medios,2014
Apocalypse,0yc6Gst2xkRu0eMLeRMGCX,290616,87,205,369,468,566,109,-9,273,94,0,5,1,4.0,Apocalypse,Cigarettes After Sex,The Rain,Series de televisión,Entretenimiento y Medios,2018
Apocalypse,0yc6Gst2xkRu0eMLeRMGCX,290616,87,205,369,468,566,109,-9,273,94,0,5,1,4.0,Apocalypse,Cigarettes After Sex,Betty,Series de televisión,Entretenimiento y Medios,2020
Apocalypse,0yc6Gst2xkRu0eMLeRMGCX,290616,87,205,369,468,566,109,-9,273,94,0,5,1,4.0,Apocalypse,Cigarettes After Sex,Snowpiercer,Series de televisión,Entretenimiento y Medios,2020
Apocalypse,0yc6Gst2xkRu0eMLeRMGCX,290616,87,205,369,468,566,109,-9,273,94,0,5,1,4.0,Apocalypse,Cigarettes After Sex,Dead Boy Detectives,Series de televisión,Entretenimiento y Medios,2024
Aquarius/Let The Sunshine In (The Flesh Failures),0HZlND4giwzgolBpaNIRGV,289293,57,445,293,0,152,998,-6,399,118,514,7,1,4.0,Aquarius/Let The Sunshine In (The Flesh Failures),The 5th Dimension,Forrest Gump,Película,Entretenimiento y Medios,1994
Aquarius/Let The Sunshine In (The Flesh Failures),0HZlND4giwzgolBpaNIRGV,289293,57,445,293,0,152,998,-6,399,118,514,7,1,4.0,Aquarius/Let The Sunshine In (The Flesh Failures),The 5th Dimension,The 40-Year-Old Virgin,Series de televisión,Entretenimiento y Medios,2005
Arrival of the Birds,1xRCmlU2GyzGem2vw4glxK,158346,50,944,0,123,918,915,-17,394,129,579,3,0,3.0,Arrival of the Birds,The Cinematic Orchestra,Absolut Vodka,Alimentos y bebidas,Consumo y Retail,2018
Arrival of the Birds,1xRCmlU2GyzGem2vw4glxK,158346,50,944,0,123,918,915,-17,394,129,579,3,0,3.0,Arrival of the Birds,The Cinematic Orchestra,The Theory of Everything,Película,Entretenimiento y Medios,2014
Ask Somebody Who Ain't (If You Think The System's Workin' ...),3x7YePzGFtX6laN5jvhdUi,191106,13,517,875,454,547,0,-9,113,96,899,9,1,4.0,Ask Somebody Who Ain't (If You Think The System's Workin' ...),Paul Butterfield,The Last Waltz,Película,Entretenimiento y Medios,1978
Ask Somebody Who Ain't (If You Think The System's Workin' ...),3x7YePzGFtX6laN5jvhdUi,191106,13,517,875,454,547,0,-9,113,96,899,9,1,4.0,Ask Somebody Who Ain't (If You Think The System's Workin' ...),Seasick Steve,Sons of Anarchy,Series de televisión,Entretenimiento y Medios,2008
Atomic,1PAKcvZUMSgEqRhmhZDeGk,282240,45,998,594,498,314,101,-14,33,134,928,4,0,4.0,Atomic,Blondie,Coca-Cola,Alimentos y bebidas,Consumo y Retail,1997
Atomic,1PAKcvZUMSgEqRhmhZDeGk,282240,45,998,594,498,314,101,-14,33,134,928,4,0,4.0,Atomic,Blondie,Bend It Like Beckham,Película,Entretenimiento y Medios,2002
Atomic,1PAKcvZUMSgEqRhmhZDeGk,282240,45,998,594,498,314,101,-14,33,134,928,4,0,4.0,Atomic,Blondie,Zack and Miri Make a Porno,Película,Entretenimiento y Medios,2008
Atomic,1PAKcvZUMSgEqRhmhZDeGk,282240,45,998,594,498,314,101,-14,33,134,928,4,0,4.0,Atomic,Blondie,Trainspotting 2,Película,Entretenimiento y Medios,2017
Atomic,1PAKcvZUMSgEqRhmhZDeGk,282240,45,998,594,498,314,101,-14,33,134,928,4,0,4.0,Atomic,Blondie,The Sopranos,Series de televisión,Entretenimiento y Medios,1999
Atomic,1PAKcvZUMSgEqRhmhZDeGk,282240,45,998,594,498,314,101,-14,33,134,928,4,0,4.0,Atomic,Blondie,Ford Fiesta,Vehículos y automóviles,Automotriz y Transporte,2002
august,3hUxzQpSfdDqwM3ZTFQY0K,261922,87,538,532,623,728,925,-9,331,89,403,5,1,4.0,august,Taylor Swift,The Summer I Turned Pretty,Series de televisión,Entretenimiento y Medios,2022
Aventuras En El Tiempo,0lh18hhI9vxejLA6fjwynz,160173,30,869,689,886,0,343,-5,937,95,735,4,1,4.0,Aventuras En El Tiempo,Belinda,Aventuras en el Tiempo,Series de televisión,Entretenimiento y Medios,2001
Azul Como El Cielo,4VcZEDgmzHll1eKhY8OzyW,216613,28,154,808,851,13,645,-5,509,106,949,7,1,4.0,Azul Como El Cielo,Pedro Fernández,Hasta Que El Dinero Nos Separe,Series de televisión,Entretenimiento y Medios,2009
Baby Can I Hold You,2DjWsDGgL1xNbhnr7f6t5F,193120,77,811,692,422,0,848,-10,333,74,468,2,1,4.0,Baby Can I Hold You,Tracy Chapman,Danone,Alimentos y bebidas,Consumo y Retail,1998
Back In Black,7GQJfz4JlmjnaGKkq8M2CO,261093,19,374,597,0,565,431,-7,297,92,899,9,1,4.0,Back In Black,AC/DC,Iron Man,Película,Entretenimiento y Medios,2008
bad guy,2Fxmhks0bxGSBdJ92vM42m,194087,81,328,701,425,0,0,-10,375,135,562,7,1,4.0,bad guy,Billie Eilish,Apple,Dispositivos electrónicos,Tecnología y Comunicaciones,2019
Bad Moon Rising,2kyBz2bXWUQDL26Aigex0X,140186,0,604,518,808,218,814,-5,371,179,944,2,1,4.0,Bad Moon Rising,Creedence Clearwater Revival,An American Werewolf in London,Película,Entretenimiento y Medios,1981
Baddest Ruffest,1wVriauI0fVMvpGnoG6vag,222640,36,2,691,956,912,571,-4,621,131,792,2,0,4.0,Baddest Ruffest,Backyard Dog,Coca-Cola,Alimentos y bebidas,Consumo y Retail,2002
Baddest Ruffest,1wVriauI0fVMvpGnoG6vag,222640,36,2,691,956,912,571,-4,621,131,792,2,0,4.0,Baddest Ruffest,Backyard Dog,KFC,Alimentos y bebidas,Consumo y Retail,2002
Baddest Ruffest,1wVriauI0fVMvpGnoG6vag,222640,36,2,691,956,912,571,-4,621,131,792,2,0,4.0,Baddest Ruffest,Backyard Dog,Bend It Like Beckham,Película,Entretenimiento y Medios,2002
Bailando,0OteyYh6inrfcil1XGwC3r,308346,49,267,658,879,675,239,-5,499,125,448,7,0,4.0,Bailando,Enrique Iglesias,Reina de Corazones,Series de televisión,Entretenimiento y Medios,2014
Baker Street,5gOd6zDC8vhlYjqbQdJVWP,365626,69,929,497,349,28,259,-14,297,113,421,7,1,4.0,Baker Street,Gerry Rafferty,Zodiac,Película,Entretenimiento y Medios,1997
Baker Street,5gOd6zDC8vhlYjqbQdJVWP,365626,69,929,497,349,28,259,-14,297,113,421,7,1,4.0,Baker Street,Gerry Rafferty,Good Will Hunting,Película,Entretenimiento y Medios,1997
Baker Street,5gOd6zDC8vhlYjqbQdJVWP,365626,69,929,497,349,28,259,-14,297,113,421,7,1,4.0,Baker Street,Gerry Rafferty,The Simpsons,Series de televisión,Entretenimiento y Medios,1997
Band Of Brothers,1LcNtS9B22LgIHxd9gTGcV,275240,0,934,108,0,966,111,-19,406,92,383,3,1,3.0,Band of Brothers,Michael Kamen,Band of Brothers,Series de televisión,Entretenimiento y Medios,2001
Barbara Ann,2KOt2JrCB720UxIbyzweQo,133893,62,0,581,669,0,243,-3,385,78,926,6,1,4.0,Barbara Ann,The Beach Boys,Toyota,Vehículos y automóviles,Automotriz y Transporte,2007
Baywatch (Main Theme),2ZpBSIz4DYX4SebzbgLvqX,152786,13,389,525,899,938,303,-5,338,115,639,7,1,4.0,Baywatch (Main Theme),Jimi Jamison,Baywatch,Series de televisión,Entretenimiento y Medios,1989
Be My Baby,1WN4uNclrDuczTO3bCr8s1,160906,77,168,512,771,0,895,-7,402,129,803,4,1,4.0,Be My Baby,The Ronettes,Dirty Dancing,Película,Entretenimiento y Medios,1987
Be OK,2qESkHBZ2VThboOnosYFBk,147680,0,0,821,773,0,116,-6,464,133,954,4,1,4.0,Be OK,Ingrid Michaelson,Smart,Vehículos y automóviles,Automotriz y Transporte,2008
Beautiful Day,0G5F2msfVO77xs7ql2RiTS,245706,0,225,541,914,441,353,-6,52,136,449,2,1,4.0,Beautiful Day,U2,Apple MacBook Pro,Dispositivos electrónicos,Tecnología y Comunicaciones,2000
Beautiful Day,0G5F2msfVO77xs7ql2RiTS,245706,0,225,541,914,441,353,-6,52,136,449,2,1,4.0,Beautiful Day,U2,Microsoft,Software y aplicaciones móviles,Tecnología y Comunicaciones,2002
Beautiful Day,0G5F2msfVO77xs7ql2RiTS,245706,0,225,541,914,441,353,-6,52,136,449,2,1,4.0,Beautiful Day,U2,FIFA World Cup 2006,Software y aplicaciones móviles,Tecnología y Comunicaciones,2006
Beautiful Day,0G5F2msfVO77xs7ql2RiTS,245706,0,225,541,914,441,353,-6,52,136,449,2,1,4.0,Beautiful Day,U2,Ford,Vehículos y automóviles,Automotriz y Transporte,2004
"Beautiful That Way - The Motion Picture ""La Vita E Bella""",2JDI1bO77h8qHKwNYs6MgY,214733,44,651,545,0,376,126,-9,305,131,417,4,1,4.0,Beautiful That Way - Theme From The Motion Picture 'La Vita E Bella',Noa,La Vita è Bella,Película,Entretenimiento y Medios,1997
Beavis & Butt Head,1NlJD7AGpY1NXPsdS6zdht,126626,8,0,702,854,924,298,-5,349,119,909,4,0,4.0,Beavis & Butt-Head,Mike Judge,Beavis and Butt-Head,Series de televisión,Entretenimiento y Medios,1993
Beggin',6M77xL824KXsS8Zt6zeqf4,216533,0,261,718,794,0,735,-5,634,129,473,4,0,4.0,Beggin',Madcon,Adidas,Recreación y productos deportivos,"Salud, Bienestar y Deportes",2009
Beggin',6M77xL824KXsS8Zt6zeqf4,216533,0,261,718,794,0,735,-5,634,129,473,4,0,4.0,Beggin',Madcon,So You Think You Can Dance,Series de televisión,Entretenimiento y Medios,2009
Beggin',6M77xL824KXsS8Zt6zeqf4,216533,0,261,718,794,0,735,-5,634,129,473,4,0,4.0,Beggin',Madcon,Just Dance,Software y aplicaciones móviles,Tecnología y Comunicaciones,2020
Believe it or Not (From “The Greatest American Hero”),0FqV6TWIS3kmC0diUb25az,199453,0,775,547,573,0,113,-5,289,115,373,9,1,4.0,Believe it or Not (From 'The Greatest American Hero'),"Mike Post, Stephen Geyer",The Greatest American Hero,Series de televisión,Entretenimiento y Medios,1981
Bella Ciao,0EayXisPHaulRoFgazbi0A,96400,0,0,596,389,0,931,-11,695,145,938,9,0,4.0,Bella Ciao,Interpreti dello spettacolo 'Bella Ciao',La Casa de Papel,Series de televisión,Entretenimiento y Medios,2017
